,pnl,book_size,long_count,short_count,turnover,returns,drawdown,margin,fitness,sharpe,start_date,alpha_id,expression,concentrated_weight,high_turnover,low_2y_sharpe,low_fitness,low_sharpe,low_sub_universe_sharpe,low_turnover
0,7165696,20000000,761,758,0.2564,0.0692,0.1397,0.00054,1.4,2.7,2012-01-22,MQmw1xM,"group_neutralize(ts_scale(group_backfill(rsk70_mfm2_asetrd_season, industry, 252, std=1), 252), densify(country))",PASS,PASS,PASS,PASS,PASS,FAIL,PASS
1,1814483,20000000,778,817,0.1116,0.0175,0.0484,0.000314,0.31,0.83,2012-01-22,R8W0bKj,"group_neutralize(ts_scale(group_backfill(anl47_japan_d1_indicator, industry, 252, std=1), 252), densify(country))",PASS,PASS,FAIL,FAIL,FAIL,FAIL,PASS
2,1814483,20000000,778,817,0.1116,0.0175,0.0484,0.000314,0.31,0.83,2012-01-22,n2VwdQE,"group_neutralize(ts_scale(group_backfill(anl47_d1_indicator, industry, 252, std=1), 252), densify(country))",PASS,PASS,FAIL,FAIL,FAIL,FAIL,PASS
3,1900591,20000000,806,775,0.0468,0.0184,0.0509,0.000784,0.3,0.79,2012-01-22,xkgXkXp,"group_neutralize(ts_scale(group_backfill(star_rev_surprise_prediction_fy1, industry, 252, std=1), 252), densify(country))",PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS
4,4157370,20000000,20,22,0.0491,0.0401,0.1763,0.001634,0.28,0.49,2012-01-22,719ggG8,"group_neutralize(ts_scale(group_backfill(rsk70_mfm2_asetrd_transprt, industry, 252, std=1), 252), densify(country))",PASS,PASS,PASS,FAIL,FAIL,PASS,PASS
5,1572856,20000000,809,775,0.0475,0.0152,0.0573,0.00064,0.23,0.65,2012-01-22,llXJVzl,"group_neutralize(ts_scale(group_backfill(star_rev_surprise_prediction_12m, industry, 252, std=1), 252), densify(country))",PASS,PASS,FAIL,FAIL,FAIL,FAIL,PASS
6,1843694,20000000,733,834,0.1938,0.0178,0.058,0.000184,0.17,0.56,2012-01-22,xkgXjlg,"group_neutralize(ts_scale(group_backfill(mdl106_global_evaluation, industry, 252, std=1), 252), densify(country))",PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS
7,1729487,20000000,788,787,0.1384,0.0167,0.061,0.000241,0.16,0.47,2012-01-22,MQm91bo,"group_neutralize(ts_scale(group_backfill(mdl106_pr, industry, 252, std=1), 252), densify(country))",PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS
8,1805983,20000000,798,693,0.0926,0.0174,0.0813,0.000377,0.16,0.44,2012-01-22,APKqaAe,"group_neutralize(ts_scale(group_backfill(oth395_csjonesindustryother11_d1_dts, industry, 252, std=1), 252), densify(country))",PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS
9,1345766,20000000,782,751,0.0337,0.013,0.0534,0.000772,0.15,0.46,2012-01-22,vlgavPa,"group_neutralize(ts_scale(group_backfill(fscore_growth, industry, 252, std=1), 252), densify(country))",PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS
10,1191866,20000000,783,784,0.0516,0.0115,0.0583,0.000446,0.14,0.46,2012-01-22,APK6LzR,"group_neutralize(ts_scale(group_backfill(star_rev_analyst_number_fy1, industry, 252, std=1), 252), densify(country))",PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS
11,1503693,20000000,810,788,0.1365,0.0145,0.1699,0.000213,0.13,0.39,2012-01-22,olOQEz6,"group_neutralize(ts_scale(group_backfill(star_hold_country_rank, industry, 252, std=1), 252), densify(country))",PASS,PASS,FAIL,FAIL,FAIL,FAIL,PASS
12,1157359,20000000,761,745,0.0469,0.0112,0.0441,0.000477,0.13,0.45,2012-01-22,d0Lex7J,"group_neutralize(ts_scale(group_backfill(star_rev_surprise_prediction_fq1, industry, 252, std=1), 252), densify(country))",PASS,PASS,FAIL,FAIL,FAIL,FAIL,PASS
