,pnl,book_size,long_count,short_count,turnover,returns,drawdown,margin,fitness,sharpe,start_date,alpha_id,expression,concentrated_weight,high_turnover,low_2y_sharpe,low_fitness,low_sharpe,low_sub_universe_sharpe,low_turnover
0,7165696,20000000,761,758,0.2564,0.0692,0.1397,0.00054,1.4,2.7,2012-01-22,MQmw1xM,"group_neutralize(ts_scale(group_backfill(rsk70_mfm2_asetrd_season, industry, 252, std=1), 252), densify(country))",PASS,PASS,PASS,PASS,PASS,FAIL,PASS
1,1191866,20000000,783,784,0.0516,0.0115,0.0583,0.000446,0.14,0.46,2012-01-22,APK6LzR,"group_neutralize(ts_scale(group_backfill(star_rev_analyst_number_fy1, industry, 252, std=1), 252), densify(country))",PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS
2,909500,20000000,787,780,0.052,0.0088,0.0574,0.000338,0.09,0.34,2012-01-22,ZnGZXzx,"group_neutralize(ts_scale(group_backfill(star_rev_analyst_number_fy2, industry, 252, std=1), 252), densify(country))",PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS
3,902177,20000000,750,808,0.0241,0.0087,0.052,0.000723,0.09,0.34,2012-01-22,ZnGZ0rd,"group_neutralize(ts_scale(group_backfill(oth455_relation_n2v_p10_q50_w5_pca_fact3_value, industry, 252, std=1), 252), densify(country))",PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS
4,758901,20000000,800,782,0.0481,0.0073,0.0686,0.000305,0.07,0.31,2012-01-22,k0lR8W8,"group_neutralize(ts_scale(group_backfill(star_rev_surprise_prediction_fy2, industry, 252, std=1), 252), densify(country))",PASS,PASS,FAIL,FAIL,FAIL,FAIL,PASS
5,686347,20000000,681,894,0.0231,0.0066,0.0712,0.000573,0.06,0.25,2012-01-22,8Q1A3OX,"group_neutralize(ts_scale(group_backfill(oth455_relation_roam_w4_pca_fact2_value, industry, 252, std=1), 252), densify(country))",PASS,PASS,FAIL,FAIL,FAIL,FAIL,PASS
6,865244,20000000,767,721,0.0881,0.0084,0.0867,0.00019,0.06,0.23,2012-01-22,anvJVw6,"group_neutralize(ts_scale(group_backfill(oth395_asset_43_23, industry, 252, std=1), 252), densify(country))",PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS
7,785537,20000000,769,719,0.0895,0.0076,0.0953,0.000169,0.05,0.21,2012-01-22,olO2EP5,"group_neutralize(ts_scale(group_backfill(oth395_asset_43_31, industry, 252, std=1), 252), densify(country))",PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS
8,709075,20000000,767,720,0.0889,0.0068,0.0892,0.000154,0.04,0.18,2012-01-22,llXxMGN,"group_neutralize(ts_scale(group_backfill(oth395_asset_43_12, industry, 252, std=1), 252), densify(country))",PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS
9,882839,20000000,990,433,0.1896,0.0085,0.1398,9e-05,0.03,0.15,2012-01-22,QVXeKZQ,"group_neutralize(ts_scale(group_backfill(nws7_2_d1_negative_freq, industry, 252, std=1), 252), densify(country))",PASS,PASS,FAIL,FAIL,FAIL,FAIL,PASS
10,571922,20000000,974,453,0.1875,0.0055,0.1794,5.9e-05,0.02,0.1,2012-01-22,Nr9MVWE,"group_neutralize(ts_scale(group_backfill(nws7_2_d1_negative_score, industry, 252, std=1), 252), densify(country))",PASS,PASS,FAIL,FAIL,FAIL,FAIL,PASS
11,33196,20000000,729,735,0.0759,0.0003,0.1383,8e-06,0.0,0.01,2012-01-22,QVXebaX,"group_neutralize(ts_scale(group_backfill(rsk70_mfm2_asetrd_anlystsn, industry, 252, std=1), 252), densify(country))",PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS
12,-127563,20000000,765,834,0.1715,-0.0012,0.2052,-1.4e-05,-0.0,-0.03,2012-01-22,xkgM1aq,"group_neutralize(ts_scale(group_backfill(rp_nip_business, industry, 252, std=1), 252), densify(country))",PASS,PASS,FAIL,FAIL,FAIL,FAIL,PASS
13,-360193,20000000,875,413,0.2414,-0.0035,0.2525,-2.9e-05,-0.01,-0.06,2012-01-22,1dEvZeJ,"group_neutralize(ts_scale(group_backfill(nws7_2_d1_positive_freq, industry, 252, std=1), 252), densify(country))",PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS
14,-409030,20000000,823,770,0.0335,-0.0039,0.1233,-0.000235,-0.02,-0.14,2012-01-22,3RLdGd6,"group_neutralize(ts_scale(group_backfill(star_rev_smart_estimate_fy2, industry, 252, std=1), 252), densify(country))",PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS
15,-595370,20000000,974,573,0.0693,-0.0057,0.1361,-0.000166,-0.02,-0.1,2012-01-22,3RLdoGz,"group_neutralize(ts_scale(group_backfill(oth428_net_profit, industry, 252, std=1), 252), densify(country))",PASS,PASS,FAIL,FAIL,FAIL,FAIL,PASS
16,-525652,20000000,564,1033,0.1456,-0.0051,0.2218,-7e-05,-0.02,-0.12,2012-01-22,8Q1Avql,"group_neutralize(ts_scale(group_backfill(rp_nip_earnings, industry, 252, std=1), 252), densify(country))",PASS,PASS,FAIL,FAIL,FAIL,FAIL,PASS
17,-840336,20000000,928,618,0.0687,-0.0081,0.1225,-0.000236,-0.04,-0.15,2012-01-22,wlg6oV1,"group_neutralize(ts_scale(group_backfill(oth428_recurring_profit, industry, 252, std=1), 252), densify(country))",PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS
18,-834722,20000000,926,555,0.071,-0.0081,0.1559,-0.000227,-0.04,-0.14,2012-01-22,zmpadzR,"group_neutralize(ts_scale(group_backfill(oth428_operating_profit, industry, 252, std=1), 252), densify(country))",PASS,PASS,FAIL,FAIL,FAIL,FAIL,PASS
19,-644316,20000000,768,813,0.0255,-0.0062,0.186,-0.000488,-0.05,-0.24,2012-01-22,APK60nd,"group_neutralize(ts_scale(group_backfill(oth455_relation_roam_w5_pca_fact3_value, industry, 252, std=1), 252), densify(country))",PASS,PASS,FAIL,FAIL,FAIL,FAIL,PASS
20,-647360,20000000,864,716,0.0218,-0.0063,0.0972,-0.000573,-0.05,-0.23,2012-01-22,Xn6qW15,"group_neutralize(ts_scale(group_backfill(oth455_relation_n2v_p10_q50_w2_pca_fact2_value, industry, 252, std=1), 252), densify(country))",PASS,PASS,FAIL,FAIL,FAIL,FAIL,PASS
21,-795404,20000000,760,712,0.0956,-0.0077,0.1678,-0.000161,-0.05,-0.21,2012-01-22,vlg0OOA,"group_neutralize(ts_scale(group_backfill(oth395_asset_41_13, industry, 252, std=1), 252), densify(country))",PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS
22,-688812,20000000,752,846,0.0693,-0.0067,0.1742,-0.000192,-0.05,-0.2,2012-01-22,e0RA6QM,"group_neutralize(ts_scale(group_backfill(rp_ess_revenue, industry, 252, std=1), 252), densify(country))",PASS,PASS,FAIL,FAIL,FAIL,FAIL,PASS
23,-999220,20000000,798,800,0.0543,-0.0096,0.1443,-0.000356,-0.08,-0.28,2012-01-22,VPJn0w0,"group_neutralize(ts_scale(group_backfill(rsk70_mfm2_asetrd_cntadj, industry, 252, std=1), 252), densify(country))",PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS
